source_dataset,source_path,source_row_hash,reason_code,detail
curated,source-6d4f7704b47b34abffc0734a46207b20ef0e3394ee61caf1d7cb5443cda9f37d,3b915e2d0d7ee4c408937b7ae033e5707a83573f4650b02f35c411f8b5bd4964,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-73ac58beb99304e2b6a0d4379487d9fc6f7ad61b6fc073dd4f1fcf695cada341,1f0a1bbe9fe74bbb43a1d026aa5a61a4b8a5a4de4519dbf86b5da72c61dbfa9f,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-7691311dbbc72a94d5d0511d126705357d9b75c47cf27970781ffdc6d351fe1f,3714a9c449372fcb9da58bed4137933b98318385f0ec1706fada39f19ddb20a2,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-7a69de5fa49a6b9dd714d11dbcdee66357ddbe7ac507befc32cb1bbda5ddf297,7274980a5c3a9c644b214aec5dee5357f526ce64f5aa830ded6340f996a89a96,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-7b66ffc55442544ece8b1de3776f336c52b9a24341e5ce7bdc62b8c8e46a5c95,d14a7415e44f76c1e392fe7ae60ce4d44a452c71452d8f858d94b40b861d8aff,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-7ba39fbbea4caabe5b603eab48ec8a18fc43fe709b53aa575958cc7537a460b1,37c921d68dd1ea80ee1613eaa52b78f0b154bc80e76de11d4fcbea034c2abf45,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-81a3694fd9bb64594760c4da44bc160500ab324a06c635f8a8ff90ee829b9e20,a3903c0286cb37a398d6bb9d10565738d2054f66b9ff638841bb77b8f128f5f6,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-91b21fc1907ed4994cff17791bd12343b326cdef3f7d58f4cd4968c42985aa59,48d135dff0361b525d32a5ad68f1ae6a8db98e6523f8d82af91220934628837f,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-94e1857ad5cef6de78b59a62adf2654bbcf814471cd53d355722502575f4d1c8,05d20c118cef8670adf38f54bbb3b1034519b5616b9932b464c30afad1975b75,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-a04f79cb78629a910586b87b06e13119d4f5812281b82b1afd1c495e9d3a82e2,5105bf13eb70db5998226645d0be94d06639163f28cfc378106101504b75502f,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-a648066ea6faa8156c0586af06a4ff9374e6de02cfa7cf73fb7bf0dc56d2d48e,bb67ffd484c6e99670e3961fb028489768ec0fc62e3c9b166ef4a1bafb7f9651,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-adea55e8de054dc1b7d2f4edf8366e1c20e5f3126b1cd2be1864c46d6df2664f,8a0c7a2d808185602f1b55b4c7e1687f102a4e6d65aae2c4f1e3f7b96ea6e4ac,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-ae0ad1329088fcd235c696df93cc542ad2459aa7dedc95782f539e63842a4356,eb436cdcddef5f1617f079598759c77cd004873a8d88bc88170d27f333176816,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-af4482c50c2d579f45d87e08305a28e0e0410543d08017d2b4c85164e52fb22e,5e83c43c691b48f82ef4e2af5188aa51457c98874032ba65019c30d6875efd2d,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-b100b4d4d78d7a49d9c7d7ae8e2f8bedcb178b0ec09defd7133d98ab2bc5c281,805b4d3797830b736cc803ef919c9d8208fee920e51c5a2fc1c6ca90bb7c28ea,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-b21afc484d9f12c7d17631757dc2bec7af8d9170114c23c19481f3a7184fee93,476c65dd213a1f9430f54259a53744afc3ea0c681fe3dfb29a70b97b8a562060,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-bab999e44913319594fd3e93dbafaf715b237fa904af8f18da996ad1c6820cc6,e980d48af2fa521f55f6442889a4f3bd7ae4abdce71bc790fdc0da04f4b06243,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-bbeed539e5daf9fee9003b1205a7fb56cc3444d7d567de8fdcc6d74e5d5e1109,80c71e73ae36fc5ea028cf1bcb2b63afa4f6ffec0b5c399c950684c4d87317b1,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-bc8a74631a42609da0f2f7c752858fb8104d233c99a39cdff9f59ece5f54952a,796a7dd7c6491f9e82a07f5c0f0ef15d078620b35324d0f27c8a80e73c310ad6,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-c1371a290e8d46b48b467b09183fdeaf157c983c3a6b5eba5c138219e3aaa677,aaf83ab7e46dd923d304a3ae4268cb08c1208a8cc3b3f7e9cb976d0a1fa13504,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-c373491e14e0b82ccda75e7d10f43f60e816af42f238a250de14435dd7d7cb6a,ffde7575a31d10120816d54597084a1dcd8583c0fecb98d6e788caf6be2948c3,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-cd0142bebbd9636c420ed1b3197c41d7b859171d143709d03544ceaab57d0589,c69f177c526f34f42ff4a8e4820c76c08bede0b2a3e99bb73ce40aeb93d94ed5,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-e7987560cf4c5bd2d52d040df158a6c5a3003ef1a58574b2c0837c7cca0b9b4a,418099b96fd3951962271ea58f0ec449d13039e28cb4a9469cb01a96b489227f,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-f21a869d7175a65d9940ced82f858bd36206d5358954099cc99dfd83850f1d42,d16866a0e48d7ce174f4a972b082fac64b460cb13083791037f01d11934c5698,duplicate_row_hash,Duplicate normalized canonical row content.
curated,source-f390d3127b9cc7932c45989c331d564554faf0c64b9ce95857fcffceeaa64b99,382689f7dc8b9ca76900b0b2b8fae42cf983500170f261946d992ecbc41e3f8b,duplicate_row_hash,Duplicate normalized canonical row content.
