age_band_12mo,task_type,group,cohort_n,confidence_flag,corpus_count,corpora,design_types,age_months_n,age_months_mean,age_months_sd,age_months_median,age_months_q1,age_months_q3,age_months_min,age_months_max,total_utterances_n,total_utterances_mean,total_utterances_sd,total_utterances_median,total_utterances_q1,total_utterances_q3,total_utterances_min,total_utterances_max,mlu_n,mlu_mean,mlu_sd,mlu_median,mlu_q1,mlu_q3,mlu_min,mlu_max,mluw_n,mluw_mean,mluw_sd,mluw_median,mluw_q1,mluw_q3,mluw_min,mluw_max,ttr_n,ttr_mean,ttr_sd,ttr_median,ttr_q1,ttr_q3,ttr_min,ttr_max,total_words_n,total_words_mean,total_words_sd,total_words_median,total_words_q1,total_words_q3,total_words_min,total_words_max,unintelligible_count_n,unintelligible_count_mean,unintelligible_count_sd,unintelligible_count_median,unintelligible_count_q1,unintelligible_count_q3,unintelligible_count_min,unintelligible_count_max,unintelligible_ratio_n,unintelligible_ratio_mean,unintelligible_ratio_sd,unintelligible_ratio_median,unintelligible_ratio_q1,unintelligible_ratio_q3,unintelligible_ratio_min,unintelligible_ratio_max,zero_vocalization_count_n,zero_vocalization_count_mean,zero_vocalization_count_sd,zero_vocalization_count_median,zero_vocalization_count_q1,zero_vocalization_count_q3,zero_vocalization_count_min,zero_vocalization_count_max,nonverbal_vocalization_count_n,nonverbal_vocalization_count_mean,nonverbal_vocalization_count_sd,nonverbal_vocalization_count_median,nonverbal_vocalization_count_q1,nonverbal_vocalization_count_q3,nonverbal_vocalization_count_min,nonverbal_vocalization_count_max,question_ratio_n,question_ratio_mean,question_ratio_sd,question_ratio_median,question_ratio_q1,question_ratio_q3,question_ratio_min,question_ratio_max,echolalia_count_n,echolalia_count_mean,echolalia_count_sd,echolalia_count_median,echolalia_count_q1,echolalia_count_q3,echolalia_count_min,echolalia_count_max,echolalia_ratio_n,echolalia_ratio_mean,echolalia_ratio_sd,echolalia_ratio_median,echolalia_ratio_q1,echolalia_ratio_q3,echolalia_ratio_min,echolalia_ratio_max,pronoun_reversal_count_n,pronoun_reversal_count_mean,pronoun_reversal_count_sd,pronoun_reversal_count_median,pronoun_reversal_count_q1,pronoun_reversal_count_q3,pronoun_reversal_count_min,pronoun_reversal_count_max
72-83,narrative,SLI,13,low_n,2,ENNI;Gillam,cross,13,78.84384615384614,3.4601698861509145,79.87,75.03,81.37,73.5,83.27,13,88.61538461538461,31.45244680873668,82.0,68.0,90.0,61,166,13,5.841692307692308,1.100055558037516,5.737,5.0,6.58,4.206,7.8,13,5.648461538461539,1.1633960786840551,5.579,5.0,6.358,3.794,7.711,13,0.3484230769230769,0.0620401503577341,0.3514,0.3086,0.3857,0.2571,0.4574,13,506.9230769230769,221.6669654904483,469.0,313.0,611.0,250,1013,13,0.7692307692307693,0.9268086959962983,1.0,0.0,1.0,0,3,13,0.009953846153846155,0.013676598954943404,0.006,0.0,0.0122,0.0,0.0469,13,0.07692307692307693,0.2773500981126146,0.0,0.0,0.0,0,1,13,0.7692307692307693,1.0127393670836666,0.0,0.0,1.0,0,3,13,0.0005384615384615384,0.0019414506867883017,0.0,0.0,0.0,0.0,0.007,13,0.5384615384615384,0.8770580193070292,0.0,0.0,1.0,0,3,13,0.0052307692307692315,0.007123480494742325,0.0,0.0,0.0116,0.0,0.0181,13,0.15384615384615385,0.3755338080994054,0.0,0.0,0.0,0,1
72-83,narrative,TD,59,ok,2,ENNI;Gillam,cross,59,78.57033898305085,3.4423017390141215,79.17,75.55,81.985,72.37,83.37,59,80.49152542372882,22.497028831684702,75.0,65.5,87.5,50,143,59,6.885406779661015,1.0151721633952313,6.75,6.225,7.5295000000000005,4.634,9.333,59,6.71264406779661,0.9972032401484053,6.595,6.012499999999999,7.3705,4.592,9.13,59,0.3761627118644068,0.04681179448455081,0.3657,0.34285,0.4043,0.3029,0.4829,59,539.9152542372881,167.58922359968312,497.0,411.5,640.5,285,983,59,0.3220338983050847,0.752940854161584,0.0,0.0,0.0,0,4,59,0.004183050847457627,0.009525395322457442,0.0,0.0,0.0,0.0,0.0488,59,0.0,0.0,0.0,0.0,0.0,0,0,59,0.9491525423728814,2.769437443271052,0.0,0.0,1.0,0,20,59,0.007991525423728815,0.021576809774541652,0.0,0.0,0.0,0.0,0.1071,59,0.3220338983050847,0.9903095643857286,0.0,0.0,0.0,0,6,59,0.0031728813559322036,0.009520356239866067,0.0,0.0,0.0,0.0,0.0541,59,0.03389830508474576,0.182520824972938,0.0,0.0,0.0,0,1
72-83,toyplay,ASD,16,low_n,3,Eigsti;Flusberg;Nadig,cross;long,16,77.553125,3.4267277272445598,78.015,75.00999999999999,80.60749999999999,72.37,82.93,16,355.8125,168.3564546827158,411.5,254.25,491.0,56,564,16,2.81275,0.6264390898829139,2.605,2.325,3.245,1.89,4.043,16,2.6889374999999998,0.5647327944848489,2.6555,2.245,3.1025,1.76,3.872,16,0.36281874999999997,0.06221271272818764,0.36855000000000004,0.3164,0.3836,0.2429,0.4765,16,875.9375,439.3841855369854,983.5,515.75,1258.5,132,1498,16,23.0,15.161354381013151,23.0,10.0,31.75,2,62,16,0.08326875,0.06662576797556133,0.0687,0.038075,0.11687499999999999,0.0049,0.2553,16,0.625,1.746424919657298,0.0,0.0,0.0,0,6,16,2.125,6.248999919987197,0.0,0.0,0.0,0,24,16,0.0811375,0.044502881929151514,0.0691,0.0523,0.102575,0.0267,0.1786,16,25.25,25.106440076867397,19.0,13.5,33.0,0,104,16,0.06046875,0.04605904498575714,0.05215,0.0348,0.08045,0.0,0.1844,16,0.0625,0.25,0.0,0.0,0.0,0,1
72-83,toyplay,DD,1,low_n,1,Eigsti,cross,1,78.87,,78.87,78.87,78.87,78.87,78.87,1,131.0,,131.0,131.0,131.0,131,131,1,4.34,,4.34,4.34,4.34,4.34,4.34,1,4.02,,4.02,4.02,4.02,4.02,4.02,1,0.3143,,0.3143,0.3143,0.3143,0.3143,0.3143,1,473.0,,473.0,473.0,473.0,473,473,1,7.0,,7.0,7.0,7.0,7,7,1,0.0534,,0.0534,0.0534,0.0534,0.0534,0.0534,1,0.0,,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0,0,1,0.1374,,0.1374,0.1374,0.1374,0.1374,0.1374,1,3.0,,3.0,3.0,3.0,3,3,1,0.0229,,0.0229,0.0229,0.0229,0.0229,0.0229,1,0.0,,0.0,0.0,0.0,0,0
84-95,narrative,SLI,19,low_n,2,ENNI;Gillam,cross,19,90.49684210526316,2.9937454293754553,90.6,88.30000000000001,93.16499999999999,85.0,95.0,19,85.6842105263158,47.73311525971944,67.0,58.0,85.5,51,207,19,6.410631578947369,1.150994362884464,6.245,5.74,7.292999999999999,4.03,8.34,19,6.248526315789473,1.1087206024373344,6.172,5.6985,6.9905,3.93,8.039,19,0.3689631578947368,0.048851489349823383,0.3657,0.33285,0.39885000000000004,0.2947,0.4922,19,518.7368421052631,300.9486560316418,452.0,359.0,533.5,258,1600,19,1.2105263157894737,2.3470773165416943,0.0,0.0,1.5,0,8,19,0.014563157894736842,0.02784124060386988,0.0,0.0,0.01885,0.0,0.1111,19,0.15789473684210525,0.6882472016116854,0.0,0.0,0.0,0,3,19,1.3157894736842106,3.6976363558201664,0.0,0.0,1.0,0,16,19,0.00971578947368421,0.018896450670779854,0.0,0.0,0.0111,0.0,0.069,19,0.3157894736842105,0.6710382982072027,0.0,0.0,0.0,0,2,19,0.0024473684210526317,0.005422419347389813,0.0,0.0,0.0,0.0,0.0189,19,0.15789473684210525,0.501459857121279,0.0,0.0,0.0,0,2
84-95,narrative,TD,69,ok,2,ENNI;Gillam,cross,69,90.55768115942028,3.316933002625244,90.4,88.5,93.27,84.07,95.63,69,79.65217391304348,20.586850519743194,77.0,63.0,92.0,50,151,69,7.656753623188405,0.9655749187400814,7.615,6.926,8.339,5.377,9.797,69,7.454362318840579,0.9370883719236643,7.417,6.753,8.11,5.246,9.584,69,0.38735797101449265,0.046861103919226654,0.38,0.3629,0.4114,0.3,0.5029,69,594.6231884057971,168.94004344121572,563.0,479.0,736.0,321,979,69,0.2028985507246377,0.6082692453599886,0.0,0.0,0.0,0,4,69,0.0026492753623188403,0.008371039418003382,0.0,0.0,0.0,0.0,0.058,69,0.043478260869565216,0.267602789964774,0.0,0.0,0.0,0,2,69,0.6086956521739131,1.3308267145821517,0.0,0.0,1.0,0,7,69,0.007060869565217392,0.01775645878672043,0.0,0.0,0.0,0.0,0.0847,69,0.2463768115942029,0.49722160704580604,0.0,0.0,0.0,0,2,69,0.0029130434782608694,0.0059455844476848894,0.0,0.0,0.0,0.0,0.0244,69,0.043478260869565216,0.267602789964774,0.0,0.0,0.0,0,2
84-95,toyplay,ASD,14,low_n,1,Flusberg,long,14,89.14714285714285,3.366510241896081,89.315,86.6325,91.6525,84.43,94.87,14,366.57142857142856,148.39900180346137,311.5,277.25,413.5,210,739,14,2.1878571428571427,0.818837624285215,2.115,1.45,2.9074999999999998,1.05,3.58,14,2.150714285714286,0.684919582991197,2.12,1.4975,2.7074999999999996,1.29,3.41,14,0.35997142857142866,0.07460408762333261,0.36,0.29500000000000004,0.393575,0.2543,0.4943,14,738.0714285714286,256.9886152179671,699.5,546.75,946.75,295,1208,14,29.785714285714285,23.599799775645334,26.0,17.0,34.75,5,102,14,0.07915714285714284,0.03437540968786833,0.08399999999999999,0.071425,0.0954,0.0136,0.138,14,0.0,0.0,0.0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,0.0,0,0,14,0.05921428571428571,0.048996025853639893,0.0477,0.01805,0.08307500000000001,0.0102,0.1707,14,15.857142857142858,8.547218556638473,14.0,13.0,20.5,4,33,14,0.04417142857142857,0.02146730711396459,0.0461,0.028925,0.049525,0.0152,0.0982,14,0.0,0.0,0.0,0.0,0.0,0,0
96-107,narrative,SLI,21,ok,2,ENNI;Gillam,cross,21,103.43571428571428,3.7134304509827176,104.9,101.33,106.8,97.0,107.5,21,84.0,24.351591323771842,74.0,67.0,104.0,56,144,21,6.407809523809523,0.7653675991997322,6.29,5.904,7.04,5.104,7.893,21,6.246666666666667,0.7751025953596937,6.18,5.712,6.65,4.94,7.732,21,0.3852142857142857,0.040792184125323386,0.3837,0.3571,0.4029,0.3114,0.46,21,524.2380952380952,169.7559733151988,446.0,390.0,640.0,331,911,21,0.5714285714285714,0.746420027292179,0.0,0.0,1.0,0,2,21,0.006619047619047618,0.00818441317674145,0.0,0.0,0.0139,0.0,0.0222,21,0.047619047619047616,0.21821789023599236,0.0,0.0,0.0,0,1,21,1.5238095238095237,3.5159500511106194,0.0,0.0,2.0,0,16,21,0.01108095238095238,0.02388764574100217,0.0,0.0,0.0123,0.0,0.0877,21,0.2857142857142857,0.4629100498862757,0.0,0.0,1.0,0,1,21,0.0038142857142857145,0.00650763288103176,0.0,0.0,0.0088,0.0,0.0179,21,0.047619047619047616,0.2182178902359924,0.0,0.0,0.0,0,1
96-107,narrative,TD,69,ok,2,ENNI;Gillam,cross,69,102.6059420289855,3.4598441476462067,103.7,100.0,105.93,96.0,107.83,69,87.7536231884058,30.693650328740368,82.0,67.0,98.0,50,179,69,7.901188405797102,1.0234316735629367,7.95,7.397,8.514,5.514,10.426,69,7.698855072463768,0.99115874367213,7.78,7.169,8.294,5.472,10.053,69,0.40442608695652177,0.04494714102068677,0.4,0.3743,0.4343,0.3114,0.5,69,670.536231884058,236.54321702574063,605.0,509.0,790.0,333,1312,69,0.3333333333333333,0.8688509427884128,0.0,0.0,0.0,0,4,69,0.003544927536231884,0.00888474462925214,0.0,0.0,0.0,0.0,0.0423,69,0.0,0.0,0.0,0.0,0.0,0,0,69,0.855072463768116,2.123228412519625,0.0,0.0,1.0,0,12,69,0.010833333333333335,0.027229971952776953,0.0,0.0,0.0088,0.0,0.1765,69,0.14492753623188406,0.49334877052412346,0.0,0.0,0.0,0,3,69,0.0012333333333333335,0.003789213276512944,0.0,0.0,0.0,0.0,0.0173,69,0.014492753623188406,0.12038585308576918,0.0,0.0,0.0,0,1
96-107,toyplay,ASD,11,low_n,1,Flusberg,long,11,101.7881818181818,3.917335365224218,101.2,98.75,104.88499999999999,96.4,107.6,11,438.8181818181818,136.4850308142385,455.0,380.5,539.0,189,630,11,1.7872727272727276,0.4320206224033966,1.75,1.4649999999999999,2.115,1.09,2.5,11,1.7854545454545452,0.38043037829184034,1.8,1.5350000000000001,2.07,1.19,2.48,11,0.3677909090909091,0.06098377578578511,0.3629,0.33855,0.41425,0.2486,0.4514,11,747.5454545454545,198.34281617258722,783.0,631.0,862.0,404,1019,11,33.27272727272727,19.519687031768257,31.0,21.5,37.0,12,86,11,0.07475454545454545,0.026789227821509293,0.0635,0.0549,0.09004999999999999,0.0454,0.1365,11,0.0,0.0,0.0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,0.0,0,0,11,0.04792727272727273,0.03575044309960622,0.0394,0.02265,0.07285,0.0044,0.1058,11,20.636363636363637,15.357556623843047,18.0,11.0,21.5,7,62,11,0.044963636363636365,0.02117499812171291,0.0442,0.032049999999999995,0.0511,0.0176,0.0984,11,0.18181818181818182,0.6030226891555271,0.0,0.0,0.0,0,2
