bank,corpus,source_status,qc_status,transcript_count,parse_pass_count,parse_warn_count,parse_fail_count,child_utterance_count,child_token_count
CHILDES,Ambrose,raw_download,pass,196,196,0,0,29538,42841
CHILDES,ENNI,raw_download,pass,361,361,0,0,32468,243917
CHILDES,EllisWeismer,raw_download,pass,573,573,0,0,72783,268747
CHILDES,EllisWeismer,raw_download,warn,1,1,0,0,0,0
CHILDES,Gillam,raw_download,pass,668,668,0,0,25706,225723
project_data,NYU-Emerson,existing_project_data,pass,30,30,0,0,5112,8526
project_data,Nadig,existing_project_data,pass,36,36,0,0,2927,7552
project_data,Nadig,existing_project_data,warn,2,0,2,0,153,354
