model,accuracy,f1_macro,sensitivity_macro,specificity_macro,confusion_matrix,auc
RandomForest,0.641,0.4296,0.4129,0.8807,"[[0, 1, 1, 2, 0, 13], [2, 3, 0, 0, 0, 11], [0, 0, 206, 0, 0, 0], [0, 0, 14, 115, 6, 288], [0, 0, 0, 4, 59, 200], [0, 1, 1, 198, 84, 1092]]",
LogisticRegression,0.4668,0.3846,0.5737,0.8881,"[[8, 6, 0, 3, 0, 0], [6, 9, 0, 1, 0, 0], [0, 0, 177, 21, 1, 7], [32, 29, 57, 218, 36, 51], [3, 4, 0, 22, 180, 54], [29, 32, 143, 279, 411, 482]]",
