model,accuracy,f1_macro,sensitivity_macro,specificity_macro,confusion_matrix,auc
RandomForest,0.7869,0.7394,0.7484,0.8852,"[[53, 5, 7], [4, 10, 2], [5, 3, 33]]",
LogisticRegression,0.7705,0.7141,0.7322,0.8851,"[[53, 6, 6], [1, 10, 5], [5, 5, 31]]",
